stat_id,name,short_name,level,category,description,formula_or_logic,formula_concept,inputs_core,inputs_optional,filter_context_notes,primary_data_sources,requires_detailed_tracking,feasible_from_league_boxscore_only,implementation_status,extra_data_needed,example_usage,notes,llm_notes
RUSH_SHOTS,Rush Shots,,player_game,xg_context,"Shots taken shortly after zone entry with speed, typically within a few seconds.","Count shot events where preceding zone_entry by same team & chain within N seconds, sequence tagged as 'rush'.",,,,,"fact_event_chains, fact_events_long, dim_event_details",yes,no,future,,,Aligns with JetsNation/HockeyViz concepts of rush chances.,
SHOT_ANGLE,Shot Angle,,Event,Shot,Angle of shot relative to center of net.,,"atan2(|y - net_y|, |x - net_x|) in degrees.",,,,,,,needs_xy,,,,Combined with distance; steep angles usually lower xG.
SHOT_DIST,Shot Distance,,Event,Shot,Distance from shot location to net (feet).,,sqrt((x - net_x)^2 + (y - net_y)^2) in rink coords.,,,,,,,needs_xy,Consistent coordinate system per rink.,,,Important feature for xG and shot profiling.
SKATE_SPEED_MAX,Max Skate Speed,,Player-Game,Tracking,Highest instantaneous skating speed.,,"speed_t = distance(pos_t,pos_{t-1})/Δt; SKATE_SPEED_MAX = max(speed_t).",,,,,,,needs_tracking,Per-frame positions for players.,,,NHL Edge publishes similar speed metrics.
TAKEAWAY,Takeaways,,player_game,micro_turnovers,Number of takeaways credited to the player.,Count events where event_type='takeaway' AND event_player_1=player_id.,,,,,fact_events_long,yes,no,future,,,,
TOI,Time on Ice (All situations),,player_game,toi_core,"Total time on ice for the player, all strengths and situations.",Sum shift_duration_seconds across all logical shifts for the player in fact_shifts_long/logical_shifts.,,,,,"fact_shifts_long, dim_player",yes,no,implemented_or_near,,,"For untracked games, approximate via shifts count * average shift length.",
TOI_EV_60,Even-Strength TOI per 60,,"Player-Game,Player-Season",Core,Even-strength time on ice normalized per 60 minutes.,,TOI_EV_60 = (sum(shift_duration where strength='5v5') / 60).,,,,,,,now_manual_tracking,,,,Captures 5v5 deployment; compare across games or players.
WATCH_TIME_PLAYER,Clip Watch Time per Player,,Player-Game,Video,Total duration of all video clips tagged to player’s events.,,Sum(clip_end - clip_start) across all clips for player.,,,,,,,now_manual_tracking,Clip duration metadata.,,,Can be used to size coaching workload or generate auto-reels.
WOWY_GF_DIFF,WOWY Goal Diff,,Pair-Season,Lineup,Change in GF% for a player when a specific teammate is with vs without them.,,WOWY_GF_DIFF = GF%(with) - GF%(without).,,,,,,,now_manual_tracking,,,,Used for with-or-without-you evaluation and player synergy.
xGA,Expected Goals Against,,player_game,xg,Sum of expected goals values for all shot attempts against while player is on ice.,Same as xGF but for opponent's shots while player is on ice.,,,,,"fact_events_long, fact_xy_events/fact_xy_shots, dim_player, ML_xg_model",yes,no,future,,,,
xGA_ON,On-Ice Expected Goals Against,,"Player-On-Ice-Game,Team-Game",xG,Sum of xG for shots against while player is on ice.,,xGA_ON = Σ xG_SHOT where shooting_team!=player_team and player on ice.,,,,,,,needs_xy,,,,Use with xGF_ON to build xGF% and expected goal differential.
xGF,Expected Goals For,,player_game,xg,Sum of expected goals values for all shot attempts for while player is on ice.,Sum xG_event for shots where event_team is player's team and player is on ice (xG derived from xy + shot metadata model).,,,,,"fact_events_long, fact_xy_events/fact_xy_shots, dim_player, ML_xg_model",yes,no,future,,,Requires trained xG model and robust XY + shot context.,
xGF_ON,On-Ice Expected Goals For,,"Player-On-Ice-Game,Team-Game",xG,Sum of xG for shots taken by team while player is on ice.,,xGF_ON = Σ xG_SHOT where shooting_team==player_team and player on ice.,,,,,,,needs_xy,xG_SHOT values must be computed first.,,,Better on-ice measure than raw GF; adjusts for shot quality.
xGF_PCT,xG Percentage,,"Player-On-Ice-Game,Team-Game",xG,Share of expected goals for vs total while player is on ice.,,xGF_PCT = xGF_ON / (xGF_ON + xGA_ON).,,,,,,,needs_xy,,,,Key quality-adjusted territorial metric.
xG_SHOT,Shot-Level Expected Goals,,Event,xG,Probability a single shot becomes a goal.,,"xG = model(distance,angle,shot_type,pre-shot movement,rebound,rush,etc).",,,,,,,needs_xy,Training data of many shots with outcomes + model.,,,Core feature of modern hockey analytics (Evolving-Hockey/MoneyPuck style).
